chy,chx,,
00000200,00000200,512,512
00000200,00000200,512,512
00000200,00000200,512,512
000001fd,00000200,509,512
000001f8,00000200,504,512
000001f0,00000200,496,512
000001e9,00000200,489,512
000001e4,00000200,484,512
000001e6,00000200,486,512
000001ee,00000200,494,512
000001fa,00000200,506,512
00000206,00000200,518,512
0000020d,00000200,525,512
0000020e,00000200,526,512
00000208,00000200,520,512
000001fd,00000200,509,512
000001f1,00000200,497,512
000001e8,00000200,488,512
000001e6,00000200,486,512
000001e9,00000200,489,512
000001f1,00000200,497,512
000001fc,00000200,508,512
00000205,00000200,517,512
0000020c,00000200,524,512
0000020c,00000200,524,512
00000208,00000200,520,512
000001ff,00000200,511,512
000001f7,00000200,503,512
000001f1,00000200,497,512
000001ed,00000200,493,512
000001ee,00000200,494,512
000001f1,00000200,497,512
000001f7,00000200,503,512
000001fb,00000200,507,512
000001fc,00000200,508,512
000001fa,00000200,506,512
000001f6,00000200,502,512
000001f3,00000200,499,512
000001f3,00000200,499,512
000001f5,00000200,501,512
000001fa,00000200,506,512
00000200,00000200,512,512
00000204,00000200,516,512
00000206,00000200,518,512
00000202,00000200,514,512
000001fb,00000200,507,512
000001f3,00000200,499,512
000001ed,00000200,493,512
000001eb,00000200,491,512
000001ed,00000200,493,512
000001f3,00000200,499,512
000001f9,00000200,505,512
000001ff,00000200,511,512
00000203,00000200,515,512
00000205,00000200,517,512
00000204,00000200,516,512
00000200,00000200,512,512
000001fc,00000200,508,512
000001f9,00000200,505,512
000001f6,00000200,502,512
000001f5,00000200,501,512
000001f3,00000200,499,512
000001f1,00000200,497,512
000001ef,00000200,495,512
000001ec,00000200,492,512
000001eb,00000200,491,512
000001ea,00000200,490,512
000001ed,00000200,493,512
000001f4,00000200,500,512
000001fe,00000200,510,512
00000209,00000200,521,512
00000212,00000200,530,512
00000219,00000200,537,512
0000021b,00000200,539,512
00000216,00000200,534,512
00000209,00000200,521,512
000001f9,00000200,505,512
000001e9,00000200,489,512
000001dc,00000200,476,512
000001d5,00000200,469,512
000001d5,00000200,469,512
000001dc,00000200,476,512
000001e8,00000200,488,512
000001f4,00000200,500,512
000001fe,00000200,510,512
00000204,00000200,516,512
00000207,00000200,519,512
00000209,00000200,521,512
0000020a,00000200,522,512
0000020c,00000200,524,512
0000020c,00000200,524,512
0000020c,00000200,524,512
00000209,00000200,521,512
00000203,00000200,515,512
000001fa,00000200,506,512
000001ef,00000200,495,512
000001e5,00000200,485,512
000001de,00000200,478,512
000001dd,00000200,477,512
000001e2,00000200,482,512
000001ec,00000200,492,512
000001f8,00000200,504,512
00000203,00000200,515,512
00000209,00000200,521,512
0000020b,00000200,523,512
00000207,00000200,519,512
00000202,00000200,514,512
000001fd,00000200,509,512
000001fb,00000200,507,512
000001fa,00000200,506,512
000001fd,00000200,509,512
000001fe,00000200,510,512
000001fd,00000200,509,512
000001fa,00000200,506,512
000001f5,00000200,501,512
000001f0,00000200,496,512
000001ed,00000200,493,512
000001ee,00000200,494,512
000001f3,00000200,499,512
000001fa,00000200,506,512
00000202,00000200,514,512
00000209,00000200,521,512
0000020c,00000200,524,512
0000020a,00000200,522,512
00000203,00000200,515,512
000001fa,00000200,506,512
000001f1,00000200,497,512
000001eb,00000200,491,512
00000200,000001d6,512,470
00000200,000001d6,512,470
00000200,000001d6,512,470
00000200,000001d0,512,464
00000200,000001c6,512,454
00000200,000001bb,512,443
00000200,000001b1,512,433
00000200,000001ad,512,429
00000200,000001b0,512,432
00000200,000001b8,512,440
00000200,000001c3,512,451
00000200,000001cd,512,461
00000200,000001d5,512,469
00000200,000001d6,512,470
00000200,000001d1,512,465
00000200,000001c6,512,454
00000200,000001bb,512,443
00000200,000001b4,512,436
00000200,000001b3,512,435
00000200,000001b9,512,441
00000200,000001c5,512,453
00000200,000001d1,512,465
00000200,000001db,512,475
00000200,000001df,512,479
00000200,000001dc,512,476
00000200,000001d2,512,466
00000200,000001c6,512,454
00000200,000001bb,512,443
00000200,000001b4,512,436
00000200,000001b4,512,436
00000200,000001b8,512,440
00000200,000001be,512,446
00000200,000001c5,512,453
00000200,000001ca,512,458
00000200,000001cb,512,459
00000200,000001c8,512,456
00000200,000001c3,512,451
00000200,000001c0,512,448
00000200,000001c0,512,448
00000200,000001c4,512,452
00000200,000001c9,512,457
00000200,000001cf,512,463
00000200,000001d2,512,466
00000200,000001d1,512,465
00000200,000001cd,512,461
00000200,000001c6,512,454
00000200,000001be,512,446
00000200,000001b9,512,441
00000200,000001b6,512,438
00000200,000001b7,512,439
00000200,000001bd,512,445
00000200,000001c4,512,452
00000200,000001cc,512,460
00000200,000001d1,512,465
00000200,000001d5,512,469
00000200,000001d5,512,469
00000200,000001d0,512,464
00000200,000001ca,512,458
00000200,000001c4,512,452
00000200,000001c0,512,448
00000200,000001be,512,446
00000200,000001bd,512,445
00000200,000001bd,512,445
00000200,000001bc,512,444
00000200,000001ba,512,442
00000200,000001b7,512,439
00000200,000001b6,512,438
00000200,000001b7,512,439
00000200,000001bc,512,444
00000200,000001c6,512,454
00000200,000001d3,512,467
00000200,000001e0,512,480
00000200,000001e9,512,489
00000200,000001ea,512,490
00000200,000001e3,512,483
00000200,000001d5,512,469
00000200,000001c3,512,451
00000200,000001b2,512,434
00000200,000001a7,512,423
00000200,000001a3,512,419
00000200,000001a5,512,421
00000200,000001ae,512,430
00000200,000001b8,512,440
00000200,000001c2,512,450
00000200,000001ca,512,458
00000200,000001d0,512,464
00000200,000001d3,512,467
00000200,000001d5,512,469
00000200,000001d6,512,470
00000200,000001d7,512,471
00000200,000001d7,512,471
00000200,000001d6,512,470
00000200,000001d2,512,466
00000200,000001c9,512,457
00000200,000001be,512,446
00000200,000001b3,512,435
00000200,000001a9,512,425
00000200,000001a4,512,420
00000200,000001a6,512,422
00000200,000001af,512,431
00000200,000001bd,512,445
00000200,000001cc,512,460
00000200,000001d9,512,473
00000200,000001e1,512,481
00000200,000001e0,512,480
00000200,000001da,512,474
00000200,000001d0,512,464
00000200,000001c7,512,455
00000200,000001c1,512,449
00000200,000001c0,512,448
00000200,000001c2,512,450
00000200,000001c6,512,454
00000200,000001c8,512,456
00000200,000001c7,512,455
00000200,000001c2,512,450
00000200,000001ba,512,442
00000200,000001b3,512,435
00000200,000001b0,512,432
00000200,000001b4,512,436
00000200,000001be,512,446
00000200,000001cc,512,460
00000200,000001d9,512,473
00000200,000001e2,512,482
00000200,000001e4,512,484
00000200,000001de,512,478
00000200,000001d2,512,466
00000200,000001c4,512,452
00000200,000001b8,512,440
